,Healthcare
1006,TARA
1007,TARS
1008,TBPH
1009,TCBP
1010,TCDA
1011,TCMD
1012,TCON
1013,TCRR
1014,TCRT
1015,TCRX
1016,TECH
1017,TELA
1018,TENX
1019,TERN
1020,TFFP
1021,TGTX
1022,THMO
1023,THRX
1024,THTX
1025,TIL
1026,TIVC
1027,TKNO
1028,TLIS
1029,TLRY
1030,TLSA
1031,TMCI
1032,TMDI
1033,TMDX
1034,TNDM
1035,TNGX
1036,TNON
1037,TNXP
1038,TNYA
1039,TOI
1040,TPST
1041,TRDA
1042,TRHC
1043,TRIB
1044,TRVI
1045,TRVN
1046,TSHA
1047,TSVT
1048,TTNP
1049,TTOO
1050,TVTX
1051,TWST
1052,TXG
1053,TXMD
1054,TYRA
1055,UBX
1056,UFPT
1057,UNCY
1058,UPC
1059,URGN
1060,UTHR
1061,UTMD
1062,UTRS
1063,VACC
1064,VALN
1065,VAXX
1066,VBIV
1067,VBLT
1068,VCEL
1069,VCNX
1070,VCYT
1071,VECT
1072,VERA
1073,VERO
1074,VERU
1075,VERV
1076,VIGL
1077,VINC
1078,VIR
1079,VIRI
1080,VIRX
1081,VIVE
1082,VIVO
1083,VKTX
1084,VLNS
1085,VLON
1086,VMD
1087,VNDA
1088,VOR
1089,VRAX
1090,VRAY
1091,VRCA
1092,VRDN
1093,VREX
1094,VRNA
1095,VRPX
1096,VRTX
1097,VSTM
1098,VTGN
1099,VTRS
1100,VTVT
1101,VTYX
1102,VVOS
1103,VXRT
1104,VYGR
1105,VYNE
1106,VYNT
1107,WBA
1108,WINT
1109,WORX
1110,WVE
1111,XAIR
1112,XBIO
1113,XBIT
1114,XCUR
1115,XENE
1116,XERS
1117,XFOR
1118,XGN
1119,XLO
1120,XNCR
1121,XOMA
1122,XOMAO
1123,XOMAP
1124,XRAY
1125,XRTX
1126,XTLB
1127,YI
1128,YMAB
1129,YMTX
1130,ZCMD
1131,ZIMV
1132,ZIVO
1133,ZLAB
1134,ZNTL
1135,ZTEK
1136,ZYNE
1137,ZYXI
